model,family,sigma,pairs,observed_total,predicted_total,MAE,RMSE,Pearson_log,Spearman_log,R2_log,Median_abs_log_ratio,Mean_abs_log_ratio,zero_pred_share,zero_pred_observed_total,median_improvement_abs_log,mean_improvement_abs_log,share_better_abs_log,R2_log_gain_vs_RM,R2_log_model,R2_log_RM,p10_improvement_abs_log,p90_improvement_abs_log,label,median_improvement_ci_low,median_improvement_ci_high,share_better_ci_low,share_better_ci_high,R2_log_gain_ci_low,R2_log_gain_ci_high
rel_comrelig,relational,2.0,2070,5751056.0,5751056.0,4081.3789114545507,18160.735727065705,0.5863291528673016,0.5564216698425593,-0.7137639937645295,1.0276682329999842,1.0872090746837004,0.0821256038647343,79196.0,-0.0005262801090913927,-0.04974351307569513,0.4932367149758454,-0.17759849773310354,-0.7137639937645295,-0.5361654960314259,-1.0145509975327662,0.8959298033077568,Corridor Common Religion (min-max),-0.0020450269535421395,0.000271659377734199,0.48357487922705317,0.5057971014492754,-0.21863475203728977,-0.12990909101369608
rel_scaled_sci_2021_log_rank,relational,8.0,2070,5751056.0,5751056.0,3925.860485337782,16933.55080708143,0.677700161873033,0.6824190788715429,-0.5465857703808514,1.0223268595644472,1.048873101934419,0.018357487922705314,1025.0,-0.0006000356170313692,-0.011407540326413694,0.4623188405797101,-0.010420274349425496,-0.5465857703808514,-0.5361654960314259,-0.20781285697541096,0.18212483285741907,Corridor Social Connectedness (log rank),-0.0010300972837843413,-0.0003883033398971048,0.45169082125603865,0.47342995169082125,-0.01773298884080462,-0.0017556009668700597
abel_option_b,relational,8.0,2070,5751056.0,5751056.0,4069.0666614902607,17443.017522579987,0.6584346243816909,0.6531525294147247,-0.5911271418512314,1.0047544567851594,1.0603087240427873,0.015458937198067632,1046.0,-0.0015763651545398494,-0.022843162434781853,0.46859903381642515,-0.05496164581980545,-0.5911271418512314,-0.5361654960314259,-0.4363573848682572,0.38022774753784966,Corridor Migration Stock (log-ratio z-score),-0.0031481347205735144,-0.0008752214254010848,0.45652173913043476,0.478743961352657,-0.07514398592010578,-0.03772520736007188
rel_scaled_sci_2021_log_rank,relational,5.0,2070,5751056.0,5751056.0,3937.621878417277,17312.182920213534,0.6827206223372964,0.6878453312310924,-0.5865032920477253,1.042695355841111,1.0686096032415335,0.018357487922705314,682.0,-0.002107989433378754,-0.031144041633527953,0.4241545893719807,-0.050337796016299396,-0.5865032920477253,-0.5361654960314259,-0.33505747957524395,0.2503005828869933,Corridor Social Connectedness (log rank),-0.003007041226957376,-0.0015515472138965352,0.41352657004830917,0.4353429951690821,-0.0630642374997237,-0.03860196990081377
rel_diplo_disagreement_row_log_zscore,relational,8.0,2070,5751056.0,5751056.0,4103.888222153124,19017.881783288525,0.6393927781764954,0.6466163111725766,-0.6804720007443563,1.0724180143694289,1.0963167262489193,0.017391304347826087,613.0,-0.0023870281740936417,-0.05885116464091369,0.4439613526570048,-0.14430650471293038,-0.6804720007443563,-0.5361654960314259,-0.4293230859709629,0.23485693434817034,Corridor Diplomatic Disagreement (origin log-zscore),-0.003195740405162545,-0.0015665948900865936,0.4318840579710145,0.45555555555555555,-0.1625676956536436,-0.12923722325189727
rel_comrelig_log_minmax,relational,2.0,2070,5751056.0,5751056.0,4100.286243728104,18338.933729437802,0.5855680094713616,0.5562339411010172,-0.7442578874740311,1.0391453506415897,1.099484932659848,0.08454106280193237,104546.0,-0.003249101641590757,-0.06201937105184252,0.4792270531400966,-0.20809239144260516,-0.7442578874740311,-0.5361654960314259,-1.0145312159815505,0.8694089502533305,Corridor Common Religion (log min-max),-0.006679614305230972,-0.0006403166058360206,0.46908212560386475,0.48985507246376814,-0.2524877485568877,-0.163321623348003
rel_comrelig_log_rank,relational,8.0,2070,5751056.0,5751056.0,4008.7861784807037,17358.79491462605,0.6624093927924486,0.6651091530652972,-0.5927029537280104,1.0436095439638118,1.0585223509225312,0.00966183574879227,482.0,-0.004190316881039324,-0.021056789314525662,0.4429951690821256,-0.05653745769658447,-0.5927029537280104,-0.5361654960314259,-0.23946244607319359,0.18403043008955136,Corridor Common Religion (log rank),-0.0053557384466690295,-0.0026012333118302167,0.4323671497584541,0.45410628019323673,-0.06392540771402713,-0.04847352075024853
rel_scaled_sci_2021_row_log_zscore,relational,8.0,2070,5751056.0,5751055.999999999,3911.8985817481785,17302.85251354794,0.6978202822567068,0.701668465874153,-0.5865987116191134,1.0849192414356916,1.0802295458208069,0.018357487922705314,631.0,-0.004292274398788903,-0.04276398421280148,0.40144927536231884,-0.05043321558768743,-0.5865987116191134,-0.5361654960314259,-0.3800834542481139,0.25469153696714913,Corridor Social Connectedness (origin log-zscore),-0.005411274685496341,-0.003336471860279487,0.39082125603864737,0.4101449275362319,-0.06484151612404561,-0.038355636637415085
rel_scaled_sci_2021_log_minmax,relational,2.0,2070,5751056.0,5751056.0,3927.8230175434605,18688.622971659446,0.692063870405703,0.6913221116976342,-0.6704108982043817,1.10736189571002,1.1111235511659991,0.03961352657004831,1627.0,-0.0059949796103813124,-0.07365798955799364,0.3884057971014493,-0.13424540217295577,-0.6704108982043817,-0.5361654960314259,-0.5929171096254213,0.367917303814469,Corridor Social Connectedness (log min-max),-0.00691798295350865,-0.00484397790879044,0.37874396135265703,0.39806763285024155,-0.15783040873543083,-0.10927029152387788
rel_diplo_disagreement_row_log_zscore,relational,5.0,2070,5751056.0,5751056.0,4233.655008710645,20739.476868794907,0.6073974084455349,0.6147921247106,-0.8781162083926446,1.1253755434490365,1.1616783951877774,0.030917874396135265,1670.0,-0.007562803910716398,-0.12421283357977177,0.41207729468599036,-0.34195071236121866,-0.8781162083926446,-0.5361654960314259,-0.7105022397043355,0.29976679921255656,Corridor Diplomatic Disagreement (origin log-zscore),-0.00992151980467285,-0.00528388681181288,0.40241545893719805,0.4236714975845411,-0.3709933749137104,-0.3108361631606996
rel_comrelig_log_rank,relational,5.0,2070,5751056.0,5751056.0,4067.298501297862,17684.96253909462,0.6572591405532027,0.6604962708248351,-0.6477543491226332,1.0666055653906614,1.0795188746727098,0.01642512077294686,612.0,-0.008782555015402871,-0.04205331306470421,0.41545893719806765,-0.11158885309120725,-0.6477543491226332,-0.5361654960314259,-0.3689869303580045,0.26911643915715844,Corridor Common Religion (log rank),-0.011726999334698111,-0.006544365015606121,0.4057971014492754,0.427536231884058,-0.12345143512062828,-0.09963273926683797
rel_comrelig_row_log_zscore,relational,8.0,2070,5751056.0,5751056.0,4126.157455683234,18309.516150442218,0.6343977572981384,0.6388523829606108,-0.8136561259581148,1.1137039662168626,1.138574970029642,0.03140096618357488,1870.0,-0.021758896366415148,-0.10110940842163653,0.3676328502415459,-0.2774906299266888,-0.8136561259581148,-0.5361654960314259,-0.4413823976016332,0.3088795942528331,Corridor Common Religion (origin log-zscore),-0.026544866060221564,-0.01865464237083725,0.3570048309178744,0.37729468599033816,-0.3084678041228057,-0.24940110895873185
rel_diplo_disagreement_log_minmax,relational,8.0,2070,5751056.0,5751056.0,4042.1786800619907,17860.07699669584,0.6506208141583077,0.6589176239168867,-0.681936240739329,1.0687349811132676,1.0926529155582436,0.018357487922705314,855.0,-0.02775398209812663,-0.05518735395023803,0.2748792270531401,-0.14577074470790308,-0.681936240739329,-0.5361654960314259,-0.23893941049211076,0.10292626238791956,Corridor Diplomatic Disagreement (log min-max),-0.02973244368649876,-0.02527848435853164,0.26521739130434785,0.28502415458937197,-0.1538674688141977,-0.13601339428593665
rel_scaled_sci_2021_row_log_zscore,relational,5.0,2070,5751056.0,5751056.0,4031.615640049875,18769.000660384983,0.7022197458947057,0.7106013437786296,-0.7676777829491555,1.1714596996357227,1.162828010295495,0.04396135265700483,1552.0,-0.029391881628365056,-0.12536244868748977,0.30579710144927535,-0.23151228691772952,-0.7676777829491555,-0.5361654960314259,-0.642631190166973,0.2765267903089694,Corridor Social Connectedness (origin log-zscore),-0.034252049688273056,-0.025422208803981543,0.2966183574879227,0.3154589371980676,-0.25194907178993214,-0.2076067697860736
rel_diplo_disagreement_log_rank,relational,2.0,2070,5751056.0,5751056.0,4367.501344828613,22926.063848385693,0.5699740861246311,0.5831638265791967,-1.012430948739918,1.1440876514598761,1.194314494597045,0.04541062801932367,6165.0,-0.032024333912740066,-0.1568489329890395,0.34541062801932365,-0.47626545270849197,-1.012430948739918,-0.5361654960314259,-0.8445910024715632,0.41044496817058096,Corridor Diplomatic Disagreement (log rank),-0.039353438367296815,-0.02744210551068657,0.3352657004830918,0.3565217391304348,-0.5125951723797834,-0.44162604344376555
rel_scaled_sci_2021,relational,1.0,2070,5751056.0,5751056.0,4806.870857084301,21181.021701385114,0.5104758574863232,0.5431632511238197,-1.1110508311438956,1.2231520113302485,1.2510157761832832,0.08164251207729468,17543.0,-0.035912403184880204,-0.21355021457527754,0.3217391304347826,-0.5748853351124696,-1.1110508311438956,-0.5361654960314259,-1.0954376360479392,0.4356877112026629,Corridor Social Connectedness (min-max),-0.04490459479762407,-0.029256421499781915,0.3106280193236715,0.3318840579710145,-0.6280320616449458,-0.5265166225634935
abel_option_b_log_ratio_minmax,relational,2.0,2070,5751056.0,5751056.0,4200.697507436153,18111.269391898706,0.6412896232051574,0.6359427281889071,-0.8517160070054406,1.1132264203738667,1.1612036531976346,0.028985507246376812,3225.0,-0.03593171458457012,-0.1237380915896291,0.37342995169082127,-0.31555051097401465,-0.8517160070054406,-0.5361654960314259,-0.7256306048917612,0.39037949983314457,Corridor Migration Stock (log-ratio min-max),-0.042246552532722206,-0.027229245002409343,0.36376811594202896,0.38405797101449274,-0.34361877622187154,-0.28880339226704865
abel_option_b,relational,5.0,2070,5751056.0,5751056.0,4212.448107126666,18218.27101366106,0.63676446823909,0.6290764668989379,-0.8866210646334503,1.1290606161566163,1.174245236572209,0.03188405797101449,2933.0,-0.0399746715353666,-0.13677967496420365,0.36618357487922704,-0.3504555686020243,-0.8866210646334503,-0.5361654960314259,-0.793204347770996,0.40464256143460287,Corridor Migration Stock (log-ratio z-score),-0.04869450021871499,-0.032533607815475506,0.3560386473429952,0.37681159420289856,-0.381693251169557,-0.3189104417318352
rel_diplo_disagreement_log_minmax,relational,5.0,2070,5751056.0,5751056.0,4106.788019712445,18603.806100606267,0.6410539074695181,0.6516162502890133,-0.7891496265795306,1.099290678782455,1.1319510104151331,0.022705314009661835,1154.0,-0.04589653591702336,-0.09448544880712774,0.2429951690821256,-0.25298413054810465,-0.7891496265795306,-0.5361654960314259,-0.3818144688841306,0.14417294356213955,Corridor Diplomatic Disagreement (log min-max),-0.0524482395221664,-0.041321964431669245,0.23381642512077294,0.2536231884057971,-0.2667694597775149,-0.2391794892278742
