country_from,country_to,num_migrants,country_from_name,country_to_name,predicted_migrants,residual,signed_error,abs_error,log_observed,log_predicted,log_ratio,abs_log_ratio
MNG,HKG,20.0,Mongolia,Hong Kong S.A.R.,21.345854542469773,1.3458545424697732,1.3458545424697732,1.3458545424697732,1.3222192947339193,1.3491969674538808,0.02697767271996162,0.02697767271996162
MNG,IDN,49.0,Mongolia,Indonesia,1.1010737001564999,-47.8989262998435,-47.8989262998435,47.8989262998435,1.6989700043360187,0.3224412865848702,-1.3765287177511485,1.3765287177511485
MNG,IND,132.0,Mongolia,India,54.10360314256878,-77.89639685743123,-77.89639685743123,77.89639685743123,2.123851640967086,1.7411799976498472,-0.38267164331723846,0.38267164331723846
MNG,IRQ,50.0,Mongolia,Iraq,0.21190364626858252,-49.78809635373142,-49.78809635373142,49.78809635373142,1.7075701760979363,0.08346809214270703,-1.6241020839552294,1.6241020839552294
MNG,ISR,19.0,Mongolia,Israel,0.03345957596552534,-18.966540424034473,-18.966540424034473,18.966540424034473,1.3010299956639813,0.014293493756285728,-1.2867365019076955,1.2867365019076955
MNG,JOR,21.0,Mongolia,Jordan,0.039710134250387205,-20.960289865749612,-20.960289865749612,20.960289865749612,1.3424226808222062,0.016912277142769706,-1.3255104036794365,1.3255104036794365
MNG,JPN,2821.0,Mongolia,Japan,113.92081383551896,-2707.079186164481,-2707.079186164481,2707.079186164481,3.450557009418329,2.060398692877024,-1.390158316541305,1.390158316541305
MNG,KAZ,483.0,Mongolia,Kazakhstan,165.79270115751729,-317.2072988424827,-317.2072988424827,317.2072988424827,2.6848453616444123,2.2221770420069373,-0.462668319637475,0.462668319637475
MNG,KGZ,25.0,Mongolia,Kyrgyzstan,38.77360615016077,13.773606150160767,13.773606150160767,13.773606150160767,1.414973347970818,1.5995949689119409,0.18462162094112294,0.18462162094112294
MNG,KHM,12.0,Mongolia,Cambodia,0.12336534624430515,-11.876634653755694,-11.876634653755694,11.876634653755694,1.1139433523068367,0.05052102256041498,-1.0634223297464218,1.0634223297464218
